"Subject","Start Date","Start Time","End Date","End Time","All day event","Description","Show time as","Location"
"วันพระ แรม 8 ค่ำ เดือนยี่(๒)","20210106",,,,"true","วันพุธ แรม 8 ค่ำ เดือนยี่(๒) ปีชวด","3",""
"วันพระ แรม 15 ค่ำ เดือนยี่(๒)","20210113",,,,"true","วันพุธ แรม 15 ค่ำ เดือนยี่(๒) ปีชวด","3",""
"วันพระ ขึ้น 8 ค่ำ เดือนสาม(๓)","20210121",,,,"true","วันพฤหัสบดี ขึ้น 8 ค่ำ เดือนสาม(๓) ปีชวด","3",""
"วันมาฆบูชา ขึ้น 15 ค่ำ เดือนสาม(๓)","20210128",,,,"true","วันพฤหัสบดี ขึ้น 15 ค่ำ เดือนสาม(๓) ปีชวด","3",""
"วันพระ แรม 8 ค่ำ เดือนสาม(๓)","20210205",,,,"true","วันศุกร์ แรม 8 ค่ำ เดือนสาม(๓) ปีชวด","3",""
"วันพระ แรม 14 ค่ำ เดือนสาม(๓)","20210211",,,,"true","วันพฤหัสบดี แรม 14 ค่ำ เดือนสาม(๓) ปีชวด","3",""
"วันพระ ขึ้น 8 ค่ำ เดือนสี่(๔)","20210219",,,,"true","วันศุกร์ ขึ้น 8 ค่ำ เดือนสี่(๔) ปีชวด","3",""
"วันพระ ขึ้น 15 ค่ำ เดือนสี่(๔)","20210226",,,,"true","วันศุกร์ ขึ้น 15 ค่ำ เดือนสี่(๔) ปีชวด","3",""
"วันพระ แรม 8 ค่ำ เดือนสี่(๔)","20210306",,,,"true","วันเสาร์ แรม 8 ค่ำ เดือนสี่(๔) ปีชวด","3",""
"วันพระ แรม 15 ค่ำ เดือนสี่(๔)","20210313",,,,"true","วันเสาร์ แรม 15 ค่ำ เดือนสี่(๔) ปีชวด","3",""
"วันพระ ขึ้น 8 ค่ำ เดือนห้า(๕)","20210321",,,,"true","วันอาทิตย์ ขึ้น 8 ค่ำ เดือนห้า(๕) ปีฉลู","3",""
"วันพระ ขึ้น 15 ค่ำ เดือนห้า(๕)","20210328",,,,"true","วันอาทิตย์ ขึ้น 15 ค่ำ เดือนห้า(๕) ปีฉลู","3",""
"วันพระ แรม 8 ค่ำ เดือนห้า(๕)","20210405",,,,"true","วันจันทร์ แรม 8 ค่ำ เดือนห้า(๕) ปีฉลู","3",""
"วันพระ แรม 14 ค่ำ เดือนห้า(๕)","20210411",,,,"true","วันอาทิตย์ แรม 14 ค่ำ เดือนห้า(๕) ปีฉลู","3",""
"วันพระ ขึ้น 8 ค่ำ เดือนหก(๖)","20210419",,,,"true","วันจันทร์ ขึ้น 8 ค่ำ เดือนหก(๖) ปีฉลู","3",""
"วันวิสาขบูชา ขึ้น 15 ค่ำ เดือนหก(๖)","20210426",,,,"true","วันจันทร์ ขึ้น 15 ค่ำ เดือนหก(๖) ปีฉลู","3",""
"วันอัฏฐมีบูชา แรม 8 ค่ำ เดือนหก(๖)","20210504",,,,"true","วันอังคาร แรม 8 ค่ำ เดือนหก(๖) ปีฉลู","3",""
"วันพระ แรม 15 ค่ำ เดือนหก(๖)","20210511",,,,"true","วันอังคาร แรม 15 ค่ำ เดือนหก(๖) ปีฉลู","3",""
"วันพระ ขึ้น 8 ค่ำ เดือนเจ็ด(๗)","20210519",,,,"true","วันพุธ ขึ้น 8 ค่ำ เดือนเจ็ด(๗) ปีฉลู","3",""
"วันพระ ขึ้น 15 ค่ำ เดือนเจ็ด(๗)","20210526",,,,"true","วันพุธ ขึ้น 15 ค่ำ เดือนเจ็ด(๗) ปีฉลู","3",""
"วันพระ แรม 8 ค่ำ เดือนเจ็ด(๗)","20210603",,,,"true","วันพฤหัสบดี แรม 8 ค่ำ เดือนเจ็ด(๗) ปีฉลู","3",""
"วันพระ แรม 14 ค่ำ เดือนเจ็ด(๗)","20210609",,,,"true","วันพุธ แรม 14 ค่ำ เดือนเจ็ด(๗) ปีฉลู","3",""
"วันพระ ขึ้น 8 ค่ำ เดือนแปด(๘)","20210617",,,,"true","วันพฤหัสบดี ขึ้น 8 ค่ำ เดือนแปด(๘) ปีฉลู","3",""
"วันอาสาฬหบูชา ขึ้น 15 ค่ำ เดือนแปด(๘)","20210624",,,,"true","วันพฤหัสบดี ขึ้น 15 ค่ำ เดือนแปด(๘) ปีฉลู","3",""
"วันเข้าพรรษา แรม 1 ค่ำ เดือนแปด(๘)","20210625",,,,"true","วันศุกร์ แรม 1 ค่ำ เดือนแปด(๘) ปีฉลู","3",""
"วันพระ แรม 8 ค่ำ เดือนแปด(๘)","20210702",,,,"true","วันศุกร์ แรม 8 ค่ำ เดือนแปด(๘) ปีฉลู","3",""
"วันพระ แรม 15 ค่ำ เดือนแปด(๘)","20210709",,,,"true","วันศุกร์ แรม 15 ค่ำ เดือนแปด(๘) ปีฉลู","3",""
"วันพระ ขึ้น 8 ค่ำ เดือนแปดหลัง(๘๘)","20210717",,,,"true","วันเสาร์ ขึ้น 8 ค่ำ เดือนแปดหลัง(๘๘) ปีฉลู","3",""
